date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2003-08-29,42.75,52.08,39.621,52.01,23.6458,86505803.0,0.0
2003-07-31,43.92,47.4,41.35,43.65,19.845,65045470.0,0.0
2003-06-30,38.78,44.93,38.6,43.92,19.9678,85585606.0,0.0
2003-05-30,34.58,38.77,33.3,38.7,17.5946,76551870.0,0.0
2003-04-30,26.07,35.001,25.55,34.58,15.7214,87433938.0,0.0
2003-03-31,29.49,31.23,26.01,26.97,12.2616,95092603.0,0.0
2003-02-28,26.35,29.16,24.96,29.07,13.2164,65913404.0,0.0
2003-01-31,24.5,29.45,23.65,26.09,11.8616,85803869.0,0.0
2002-12-31,27.68,30.45,22.1,24.15,10.9795,102850938.0,0.0
2002-11-29,20.5,28.4,17.56,27.68,12.5844,135092070.0,0.0
2002-10-31,22.5,25.0,16.99,20.61,9.3701,131292003.0,0.0
2002-09-30,20.65,26.6,20.11,22.31,10.143,95580870.0,0.0
2002-08-30,32.55,32.64,18.5,21.2,9.6384,173969137.0,0.0
2002-07-31,36.42,37.3,25.25,32.9,14.9576,90042670.0,0.0
2002-06-28,45.75,46.1,33.5,36.3,16.5034,102271537.0,0.0
2002-05-31,74.15,75.15,44.63,46.2,21.0044,60124524.0,0.0
2002-04-30,79.75,79.75,72.19,74.35,22.535,49783157.0,0.0
2002-03-28,68.0,80.62,67.0,79.2,24.005,57980267.0,0.0
2002-02-28,73.98,75.0,65.25,67.4,20.4285,70889245.0,0.0
2002-01-31,73.8,77.2,69.9,74.0,22.4289,56960045.0,0.0
2001-12-31,72.85,75.2,65.15,74.48,22.5744,65088846.0,0.0
2001-11-30,55.0,72.0,54.6,71.39,21.6378,73239555.0,0.0
2001-10-31,44.7,57.0,42.6,54.9,16.6398,81870268.0,0.0
2001-09-28,58.53,61.7,40.02,45.45,13.7756,78273601.0,0.0
2001-08-31,67.1,68.72,56.4,58.98,17.8764,64231867.0,0.0
2001-07-31,64.4,69.9,63.0,66.96,20.2951,50399957.0,0.0
2001-06-29,53.45,65.6,52.3,63.52,19.2525,48275289.0,0.0
2001-05-31,55.2,62.35,50.72,53.15,16.1094,49328491.0,0.0
2001-04-30,35.96,58.0,34.65,55.05,16.6853,69237603.0,0.0
2001-03-30,40.0,47.2,33.63,35.96,10.8992,62338087.0,0.0
2001-02-28,49.95,49.95,35.9,40.96,12.4147,42913423.0,0.0
2001-01-31,29.63,51.0,27.81,49.8,15.094,53299777.0,0.0
2000-12-29,27.81,31.0,21.0,29.56,8.9594,65897424.0,0.0
2000-11-30,50.25,55.44,25.38,25.75,7.8046,76505867.0,0.0
2000-10-31,63.63,63.94,39.0,50.19,15.2122,59767602.0,0.0
2000-09-29,61.75,70.63,58.5,63.63,19.2858,32376666.0,0.0
2000-08-31,72.0,78.25,61.5,62.63,18.9827,36476309.0,0.0
2000-07-31,63.75,80.69,60.75,72.75,22.05,29858134.0,0.0
2000-06-30,67.63,75.19,57.5,63.25,19.1706,41734311.0,0.0
2000-05-31,80.0,85.56,62.0,63.75,19.3222,32644666.0,0.0
2000-04-28,86.0,88.88,65.88,80.75,24.4748,34528800.0,0.0
2000-03-31,54.63,86.25,53.63,86.0,26.066,52375778.0,0.0
2000-02-29,47.75,57.88,47.25,54.63,16.558,38035557.0,0.0
2000-01-31,57.75,59.69,47.25,47.75,14.4727,49383289.0,0.0
1999-12-31,63.0,66.56,42.56,50.25,15.2304,100315646.0,0.0
