Date,LastPrice,ShareOut,MarketCap,EPS,EPSTTM,PER,BVPS,PBV,ROA%,ROE%,EV,EBITDA,EV/EBITDA,D/E,Debt/Totalcap,Debt/EBITDA
2017-12-29,68.47,296000000.0,20267120000.0,0.8074324324324325,4.069569123547241,16.82487701310209,14.027027027027026,4.8812909441233145,8.407169428474806,29.937379576107897,20041120000.0,325000000.0,61.66498461538462,2.5609344894026975,0.24247400109469075,4.0892307692307694
2018-01-31,73.06,296000000.0,21625760000.0,0.8074324324324325,4.069569123547241,17.952760545892197,14.027027027027026,5.208516377649326,8.407169428474806,29.937379576107897,21399760000.0,325000000.0,65.84541538461538,2.5609344894026975,0.24247400109469075,4.0892307692307694
2018-02-28,72.44,282988000.0,20499650720.0,1.2862736229098053,3.404751806976223,21.276147016523453,12.763792104258838,5.675429324473975,7.663422484481569,27.685492801771872,20245650720.0,1029000000.0,19.67507358600583,2.6126799557032117,0.2728004831890477,1.3168124392614189
2018-03-29,69.99,282988000.0,19806330120.0,1.2862736229098053,3.404751806976223,20.556564462817178,12.763792104258838,5.483480099667774,7.663422484481569,27.685492801771872,19552330120.0,1029000000.0,19.001292633624878,2.6126799557032117,0.2728004831890477,1.3168124392614189
2018-04-30,76.53,282988000.0,21657071640.0,1.2862736229098053,3.404751806976223,22.477409320465764,12.763792104258838,5.995867009966777,7.663422484481569,27.685492801771872,21403071640.0,1029000000.0,20.799875257531586,2.6126799557032117,0.2728004831890477,1.3168124392614189
2018-05-31,68.25,281000000.0,19178250000.0,0.7402135231316725,3.5305862451405754,19.33106721127061,12.170818505338078,5.607675438596491,8.442310875682834,29.82456140350877,19669250000.0,276000000.0,71.26539855072464,2.532748538011696,0.2840694996859954,4.916666666666667
2018-06-29,74.58,281000000.0,20956980000.0,0.7402135231316725,3.5305862451405754,21.123970587788456,12.170818505338078,6.127771929824561,8.442310875682834,29.82456140350877,21447980000.0,276000000.0,77.71007246376811,2.532748538011696,0.2840694996859954,4.916666666666667
2018-07-31,75.03,281000000.0,21083430000.0,0.7402135231316725,3.5305862451405754,21.251428173796835,12.170818505338078,6.1647456140350885,8.442310875682834,29.82456140350877,21574430000.0,276000000.0,78.16822463768116,2.532748538011696,0.2840694996859954,4.916666666666667
2018-08-31,79.56,276000000.0,21958560000.0,0.8840579710144928,3.7179775494884013,21.3987306112022,11.543478260869565,6.8922033898305095,8.79679813224381,33.11362209667295,22968560000.0,348000000.0,66.0016091954023,2.764281230382925,0.21158129175946547,2.456896551724138
2018-09-28,79.36,276000000.0,21903360000.0,0.8840579710144928,3.7179775494884013,21.34493792489953,11.543478260869565,6.874877589453861,8.79679813224381,33.11362209667295,22913360000.0,348000000.0,65.84298850574713,2.764281230382925,0.21158129175946547,2.456896551724138
